step,mode,receiver_idx,new_rewards,replay_size,train_steps,loss
22,t2_b0,20,4,87,16,2.5009000301361084
22,t2_b0,21,5,68,4,2.4338018894195557
22,t2_b0,23,6,59,0,
22,t2_b0,24,6,63,0,
22,t2_b0,25,7,67,4,19.561071395874023
22,t2_b0,27,8,72,8,1.3342921733856201
22,t2_b0,28,8,100,24,1.391083836555481
22,t2_b0,29,65,122,4,33.13651657104492
22,t2_b0,30,1,45,0,
22,t2_b0,31,6,94,20,0.5861659646034241
22,t2_b0,32,4,54,0,
22,t2_b0,33,8,69,4,0.3421507179737091
22,t2_b0,34,7,70,4,1.981986403465271
22,t2_b0,35,6,93,20,2.9476823806762695
22,t2_b0,36,7,65,4,1.5407745838165283
22,t2_b0,37,9,96,16,1.0044090747833252
22,t2_b0,39,7,61,0,
22,t2_b0,40,9,72,4,0.8183606266975403
22,t2_b0,42,8,73,8,0.8329092860221863
22,t2_b0,43,6,89,16,1.681685447692871
22,t2_b0,44,9,79,8,1.388419270515442
22,t2_b0,45,6,96,20,1.9911186695098877
22,t2_b0,46,9,73,8,1.6343868970870972
22,t2_b0,47,6,68,4,1.6204835176467896
22,t2_b0,48,5,94,24,0.921481192111969
22,t2_b0,51,9,89,16,1.7932521104812622
22,t2_b0,53,3,56,0,
22,t2_b0,54,30,130,8,28.61355972290039
22,t2_b0,55,6,54,0,
22,t2_b0,56,8,68,4,1.9808859825134277
23,t2_b0,0,5,88,16,1.4959475994110107
23,t2_b0,1,6,91,12,19.803619384765625
23,t2_b0,2,6,66,4,0.5265686511993408
23,t2_b0,3,6,43,0,
23,t2_b0,6,2,52,0,
23,t2_b0,7,1,22,0,
23,t2_b0,9,7,59,0,
23,t2_b0,11,2,65,4,2.0299572944641113
23,t2_b0,13,6,80,12,0.6255381107330322
23,t2_b0,15,5,87,24,0.38559600710868835
23,t2_b0,18,3,60,0,
23,t2_b0,19,5,35,0,
23,t2_b0,20,3,90,20,2.7573673725128174
23,t2_b0,21,8,76,8,2.8192663192749023
23,t2_b0,23,8,67,4,2.150418519973755
23,t2_b0,24,11,74,4,2.3979077339172363
23,t2_b0,25,11,78,8,19.844823837280273
23,t2_b0,26,8,61,0,
23,t2_b0,27,5,77,12,1.5169705152511597
23,t2_b0,28,5,105,28,1.9490150213241577
23,t2_b0,30,2,47,0,
23,t2_b0,31,8,102,24,1.0436434745788574
23,t2_b0,32,4,58,0,
23,t2_b0,33,6,75,8,0.3976571559906006
23,t2_b0,34,5,75,8,2.2018847465515137
23,t2_b0,35,7,100,24,1.8503453731536865
23,t2_b0,36,6,71,8,1.6664137840270996
23,t2_b0,37,6,102,20,0.7753540277481079
23,t2_b0,39,8,69,4,32.525550842285156
23,t2_b0,40,5,77,8,1.2463680505752563
23,t2_b0,41,1,80,20,0.7816430926322937
23,t2_b0,42,7,80,12,1.5467146635055542
23,t2_b0,43,9,98,20,1.6452380418777466
23,t2_b0,44,6,85,12,1.6949111223220825
23,t2_b0,45,7,103,24,1.4843978881835938
23,t2_b0,46,9,82,12,2.9767074584960938
23,t2_b0,47,7,75,8,1.5028612613677979
23,t2_b0,48,3,97,28,1.2489776611328125
23,t2_b0,51,3,92,20,1.4922125339508057
23,t2_b0,53,2,58,0,
23,t2_b0,55,8,62,0,
23,t2_b0,56,9,77,8,3.1957693099975586
24,t2_b0,0,9,97,20,1.791754961013794
24,t2_b0,1,2,93,16,0.4740249812602997
24,t2_b0,2,5,71,8,0.641995370388031
24,t2_b0,3,4,47,0,
24,t2_b0,6,1,53,0,
24,t2_b0,7,1,23,0,
24,t2_b0,9,6,65,4,32.18574523925781
24,t2_b0,11,3,68,8,2.267148733139038
24,t2_b0,13,7,87,16,24.620929718017578
24,t2_b0,15,4,91,28,0.36911454796791077
24,t2_b0,18,5,65,4,0.9846596717834473
24,t2_b0,19,2,37,0,
24,t2_b0,20,8,98,24,2.6862993240356445
24,t2_b0,21,6,82,12,2.764965534210205
24,t2_b0,23,7,74,8,2.2440185546875
24,t2_b0,24,4,78,8,2.237795829772949
24,t2_b0,25,5,83,12,19.762632369995117
24,t2_b0,26,10,71,4,35.219112396240234
24,t2_b0,27,6,83,16,1.4415831565856934
24,t2_b0,28,2,107,32,1.3900790214538574
24,t2_b0,30,3,50,0,
24,t2_b0,31,7,109,28,0.8675408959388733
24,t2_b0,32,7,65,4,0.4884997308254242
24,t2_b0,33,6,81,12,0.42609262466430664
24,t2_b0,34,6,81,12,1.9502108097076416
24,t2_b0,35,7,107,28,2.7625582218170166
24,t2_b0,36,8,79,12,1.8706741333007812
24,t2_b0,37,7,109,24,1.0197240114212036
24,t2_b0,39,4,73,8,32.912837982177734
24,t2_b0,40,10,87,12,1.3698244094848633
24,t2_b0,42,8,88,16,1.5809134244918823
24,t2_b0,43,8,106,24,1.9013254642486572
24,t2_b0,44,4,89,16,1.5399093627929688
24,t2_b0,45,7,110,28,1.5500664710998535
24,t2_b0,46,7,89,16,3.0655388832092285
24,t2_b0,47,10,85,12,1.6521577835083008
24,t2_b0,48,1,98,32,1.2182388305664062
24,t2_b0,52,5,72,8,0.5370132923126221
24,t2_b0,53,13,71,4,38.92591857910156
24,t2_b0,55,52,114,4,1.4676934480667114
24,t2_b0,56,7,84,12,2.4542579650878906
25,t2_b0,0,6,103,24,1.4748640060424805
25,t2_b0,1,6,99,20,19.810441970825195
25,t2_b0,2,4,75,12,0.5791029930114746
25,t2_b0,3,6,53,0,
25,t2_b0,6,1,54,0,
25,t2_b0,9,6,71,8,4.199356555938721
25,t2_b0,11,7,75,12,2.2114341259002686
25,t2_b0,13,8,95,20,24.723886489868164
25,t2_b0,15,6,97,32,0.39729154109954834
25,t2_b0,18,3,68,8,0.975161075592041
25,t2_b0,19,5,42,0,
25,t2_b0,20,8,106,28,2.1016318798065186
25,t2_b0,21,9,91,16,2.4142518043518066
25,t2_b0,22,7,81,8,0.9795075058937073
25,t2_b0,23,5,79,12,2.2032501697540283
25,t2_b0,24,7,85,12,1.9565837383270264
25,t2_b0,25,6,89,16,19.635250091552734
25,t2_b0,26,7,78,8,1.2417895793914795
25,t2_b0,27,7,90,20,1.3668752908706665
25,t2_b0,28,1,108,36,2.1101126670837402
25,t2_b0,30,2,52,0,
25,t2_b0,31,4,113,32,0.8622447848320007
25,t2_b0,32,5,70,8,0.5106648206710815
25,t2_b0,33,5,86,16,0.36815083026885986
25,t2_b0,34,8,89,16,2.134739637374878
25,t2_b0,35,5,112,32,2.7644002437591553
25,t2_b0,36,7,86,16,1.549769401550293
25,t2_b0,37,10,119,28,1.2056450843811035
25,t2_b0,39,4,77,12,32.67464828491211
25,t2_b0,40,5,92,16,1.4512736797332764
25,t2_b0,42,7,95,20,1.6683475971221924
25,t2_b0,43,8,114,28,1.6810606718063354
25,t2_b0,44,8,97,20,2.013193368911743
25,t2_b0,45,6,116,32,1.7436445951461792
25,t2_b0,46,6,95,20,2.9782490730285645
25,t2_b0,47,7,92,16,1.690956950187683
25,t2_b0,48,4,102,36,0.7556516528129578
25,t2_b0,52,1,73,12,0.6269888877868652
25,t2_b0,53,5,76,8,0.9103052020072937
25,t2_b0,56,8,92,16,3.131547689437866
25,t2_b0,59,6,74,8,29.200963973999023
26,t2_b0,0,4,107,28,1.8532323837280273
26,t2_b0,1,2,101,24,19.750415802001953
26,t2_b0,2,4,79,16,0.7637340426445007
26,t2_b0,3,3,56,0,
26,t2_b0,6,2,56,0,
26,t2_b0,7,2,25,0,
26,t2_b0,9,8,79,12,32.26142120361328
26,t2_b0,11,4,79,16,2.6352686882019043
26,t2_b0,13,1,96,24,0.5416709184646606
26,t2_b0,15,9,106,36,0.4539473354816437
26,t2_b0,18,4,72,12,0.9438316822052002
26,t2_b0,19,6,48,0,
