method,method_label,zone,replicate,valid_tail_evaluations,excluded_tail_steps,greedy_total,greedy_feasible_rmse,greedy_infeasible_rmse,communication_mb_per_s,run_directory
full,Full,factor_b1_v2,3,10,,15.695356692955286,11.209042208309858,22.618188059865062,267.00055296,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep3/full_paper_final_full1800_eval50_tail10x25
full,Full,factor_b1_v2,4,10,,15.034681629449945,11.061724236359108,21.31958604502682,738.6549735039999,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep4/full_paper_final_full1800_eval50_tail10x25
full,Full,factor_b1_v2,5,10,,14.580892015049264,8.936200184204665,22.47514727007856,240.121716384,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep5/full_paper_final_full1800_eval50_tail10x25
full,Full,factor_b1_v3,1,10,,7.466897066158668,5.271005532022949,37.85945619552699,727.868522272,results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b1_v3/cell_grid_intensity_greedy_eval50_tail10x25
full,Full,factor_b1_v3,2,10,,7.565103855889474,5.298673871164193,38.64041003014023,784.66170512,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v3/rep2/full_paper_final_full1800_eval50_tail10x25
full,Full,factor_b1_v3,3,10,,7.513573754181392,5.134172791876406,39.22356392701981,658.577767776,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v3/rep3/full_paper_final_full1800_eval50_tail10x25
full,Full,factor_b1_v3,4,10,,7.505085215745211,5.180743309712544,38.83995245727105,747.32150736,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v3/rep4/full_paper_final_full1800_eval50_tail10x25
full,Full,factor_b1_v3,5,10,,7.586328174248225,5.177868173214842,39.64386331651955,619.6928719040001,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v3/rep5/full_paper_final_full1800_eval50_tail10x25
full,Full,factor_b2_v1,1,10,,14.535758980421502,14.832202200348018,14.241150737403682,261.071988672,results/paper/luxembourg_cell_grid_intensity_budget_sweep_v1/methods/factor_b2_v1/cell_grid_intensity_greedy_eval50_tail10x25
full,Full,factor_b2_v1,2,10,,15.144767697151114,15.040538493114383,15.184447859915565,99.730828672,results/paper/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b2_v1/rep2/full_paper_final_full1800_eval50_tail10x25
