zone	replicate	stage	configuration	job_id	dependency	output
factor_b1_v2_300m	4	simulation	every20	2205427	afterok:2205419	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep4/every20_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	4	simulation	every40	2205428	afterok:2205419	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep4/every40_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	4	simulation	every80	2205429	afterok:2205419	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep4/every80_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	5	mobility	-	2205430	afterok:2205338	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v2_300m/rep5/mobility/factor_b1_v2_300m_rep5_all_vehicles_1s_full1800.json
factor_b1_v2_300m	5	raytrace	-	2205431	afterok:2205430	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v2_300m/rep5/rssi/shards
factor_b1_v2_300m	5	merge	-	2205432	afterok:2205431	/usr/itetnas04/data-scratch-01/hgraef/data/luxembourg_ci_temporal5_paper_final_v1/replicates/factor_b1_v2_300m/rep5/rssi/factor_b1_v2_300m_rep5_vehicles_1s_opaque_no_vehicle_blockers_ge-100dbm_r20k_d3_llvm.npz
factor_b1_v2_300m	5	simulation	iso	2205433	afterok:2205432	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep5/iso_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	5	simulation	central	2205434	afterok:2205432	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep5/central_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	5	simulation	full	2205435	afterok:2205432	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep5/full_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	5	simulation	top5	2205436	afterok:2205432	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep5/top5_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	5	simulation	every1	2205437	afterok:2205432	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep5/every1_paper_final_full1800_eval50_tail10x25
factor_b1_v2_300m	5	simulation	every5	2205438	afterok:2205432	/home/hgraef/zramp-workspace/artifacts/luxembourg_cell_grid_ci_temporal5_paper_final_v1/methods/factor_b1_v2/rep5/every5_paper_final_full1800_eval50_tail10x25
