step,active_count,active_ids
679,1,dyn_a4_existing_dense_block
680,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
681,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
682,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
683,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
684,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
685,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
686,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
687,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
688,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
689,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
690,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
691,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
692,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
693,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
694,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
695,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
696,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
697,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
698,2,dyn_a3_existing_sparse_block;dyn_a4_existing_dense_block
